estado,municipio,curso,ies,conceito_curso,nota_enem_ultimo_ampla,nota_enem_ultimo_ppiq,nota_enem_ultimo_pcd
AC,CRUZEIRO DO SUL,MEDICINA,AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE CRUZEIRO DO SUL (24547),0,720.06,681.74,666.62
AC,RIO BRANCO,MEDICINA,CENTRO UNIVERSITÁRIO UNINORTE (2132),5,727.90,672.82,719.88
AL,MACEIÓ,MEDICINA,AFYA CENTRO UNIVERSITÁRIO UNIMA (4530),5,777.58,718.28,680.40
AL,MACEIÓ,MEDICINA,CENTRO UNIVERSITÁRIO CESMAC (621),5,,772.86,743.76
AP,MACAPÁ,MEDICINA,FACULDADE INTEGRADO DE MACAPÁ/AP (28557),4,754.76,,761.68
AM,ITACOATIARA,MEDICINA,AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE ITACOATIARA (24548),0,718.50,646.06,567.04
AM,MANAUS,MEDICINA,FACULDADE SANTA TERESA (18684),5,764.76,676.92,678.84
AM,MANAUS,MEDICINA,UNIVERSIDADE NILTON LINS (669),4,750.12,667.96,691.02
AM,PARINTINS,MEDICINA,FACULDADE SANTA TERESA DE PARINTINS (26860),5,,640.88,
BA,ALAGOINHAS,MEDICINA,FACULDADE ESTÁCIO DE ALAGOINHAS (22076),5,742.80,638.88,631.44
BA,BARREIRAS,MEDICINA,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE BARREIRAS (1227),5,763.70,729.40,738.84
BA,BRUMADO,MEDICINA,CENTRO UNIVERSITÁRIO FG (2023),4,787.78,673.06,668.10
BA,CAMAÇARI,MEDICINA,CENTRO UNIVERSITÁRIO FAMEC (1170),5,728.84,614.78,538.78
BA,CONCEIÇÃO DO COITÉ,MEDICINA,FACULDADE DA REGIÃO SISALEIRA (18636),5,735.36,656.68,
BA,EUNÁPOLIS,MEDICINA,FACULDADES INTEGRADAS DO EXTREMO SUL DA BAHIA (2632),5,735.02,645.34,678.48
BA,FEIRA DE SANTANA,MEDICINA,CENTRO UNIVERSITÁRIO DE EXCELÊNCIA (1053),5,777.50,768.56,633.76
